PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
11,"['nan', 'nan', 'nan']",https://forums.livescience.com/threads/shower.1599/,"[nan, nan, nan]","[nan, nan, nan]","['Skin part', 'Hand', 'Hair']",shower,,4,204.54545454545453
12,"['Coronavirus Infections', 'Disease', 'Clouded consciousness']",https://forums.livescience.com/threads/confusion-and-chaos-surround-coronavirus-testing-in-the-us.1264/,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",confusion and chaos surround coronavirus testing in the us,,10,504.1666666666667
13,"['Coronavirus Infections', 'Seizures', 'Clouded consciousness', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/testing.1282/,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Quarantine', 'Interventional procedure', nan]","[nan, nan, nan, nan, nan, 'Entire head']",testing,,6,303.84615384615387
14,"['Communicable Diseases', 'Infantile Neuroaxonal Dystrophy', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/vaccine-from-live-virus.2638/,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Quarantine', 'Therapeutic procedure', nan, nan]","[nan, nan, nan, nan, 'Left upper arm structure', 'Entire neck']",vaccine from live virus,,4,203.57142857142858
15,"['Communicable Diseases', 'Heart Diseases', 'Abortion, Habitual', 'Common Cold', 'Critical Illness', 'Respiratory Distress Syndrome, Adult', 'Influenza', 'Pemphigus and fogo selvagem', 'Cardiac Arrest', 'Coronavirus Infections', 'Virus Diseases', 'Long QT Syndrome', 'Vesicle (morphologic abnormality)', 'Sepsis', 'Bacteremia', 'Mannose-Binding Protein Deficiency', 'Severe Acute Respiratory Syndrome', 'Autoimmune Diseases', 'Inflammatory disorder', 'Diabetes Mellitus', 'Asthma', 'Disease', 'Single organ dysfunction', 'Diarrhea', 'Catch - Finding of sensory dimension of pain', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/how-to-prevent-development-of-severe-covid-19-disease.2813/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Bronchial Lavage', 'Quarantine', 'Cytotoxic Chemotherapy', 'gene therapy', 'Providing presence (regime/therapy)', 'Cardiac Lead Procedure', 'Root Canal Therapy', 'DRUGS', 'Self Monitoring', 'Adoptive Immunotherapy', 'Primary operation', 'Abdominoperineal resection', 'Release (procedure)', 'Therapeutic procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Uterus', 'Limb structure', 'Hippocampus Proper', 'Hand', 'Entire respiratory tract', 'Airway structure', 'Alveolar', 'Hair', 'Tooth structure', 'Lung', 'Intestines', 'anatomical layer', 'Kidney', 'Organ', 'bony process']",how to prevent development of severe covid-19 disease,,34,1703.3333333333333
16,"['Mumps', 'Immune System Diseases', 'Influenza', 'Measles', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/the-hitchhickers-guide-to-immunity.2783/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Gamma globulin administration NOS', 'Vaccination', 'passive immunization procedure', 'Detection', 'Therapeutic procedure', 'Cardiac Lead Procedure', 'Infection protection', nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Thymus Gland', 'Hand', 'Eye', 'Marrow', 'Tentacle', 'Lung', 'Nose']",the hitchhicker's guide to immunity,,4,203.125
17,"['Infantile Neuroaxonal Dystrophy', 'Pharyngitis', 'Coronavirus Infections', 'Sore Throat', 'Coughing', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/i-am-to-start-teaching-english-conversation-classes-soon-what-can-i-do.1464/,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Hand class', 'Administration procedure', 'Incision and drainage']","[nan, nan, nan, nan, nan, nan, nan, nan]",i am to start teaching english conversation classes soon: what can i do?,,16,802.9411764705883
18,"['Coronavirus Infections', 'nan']",https://forums.livescience.com/threads/do-the-catechins-in-green-tea-act-as-a-natural-antiviral-against-covid-19.2753/,"[nan, nan]","[nan, 'Adoptive Immunotherapy']","[nan, nan]",do the catechins in green tea act as a natural antiviral against covid 19?,,4,202.77777777777777
19,"['Coronavirus Infections', 'nan', 'nan']",https://forums.livescience.com/threads/us-hospitals-are-already-starting-to-run-out-of-respirator-masks-crucial-for-coronavirus-protection.1253/,"[nan, nan, nan]","[nan, 'Demand (clinical)', nan]","[nan, nan, 'Bone structure of cranium']",us hospitals are already starting to run out of respirator masks crucial for coronavirus protection,,8,402.63157894736844
20,"['Communicable Diseases', 'Digitorenocerebral Syndrome', 'Influenza', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/school-closures.1937/,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Quarantine', 'Reparative closure', nan, nan]","[nan, nan, nan, nan, nan, 'Eye', 'Nose']",school closures,,10,502.5
21,"['Deficiency of glucose-6-phosphate dehydrogenase', 'Severe Combined Immunodeficiency', 'Adenosine deaminase deficiency', 'Severe Acute Respiratory Syndrome', 'Pneumonia', 'Heparin-induced thrombocytopenia', 'Mucocutaneous Lymph Node Syndrome', 'Upper Respiratory Infections', 'Coronavirus Infections', 'Paramyotonia Congenita (disorder)', 'Dyspnea', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/are-active-cigarette-smokers-immune-to-covid-19.2356/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'DRUGS', 'Fever treatment', 'Bypass', 'Therapeutic procedure', 'Cardiac Lead Procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Respiratory tract structure', 'Lung']",are active cigarette smokers immune to covid-19???,,8,402.3809523809524
22,"['Herpes zoster disease', 'Virus Diseases', 'nan', 'nan']",https://forums.livescience.com/threads/alternatives-to-fighting-the-virus.2091/,"[nan, nan, nan, nan]","[nan, nan, 'Medical therapy', 'Therapeutic procedure']","[nan, nan, nan, nan]",alternatives to fighting the virus,,6,302.27272727272725
23,"['Communicable Diseases', 'Heparin-induced thrombocytopenia', 'Labyrinthitis', 'Common Cold', 'Influenza', 'Asthma', 'Upper Respiratory Infections', 'Dwarfism', 'Coronavirus Infections', 'Pyotraumatic dermatitis', 'Disease', 'Flatulence', 'Catch - Finding of sensory dimension of pain', 'Flushing', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/coronavirus-toilet-flushing-open-windows-question.2515/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Quarantine', 'Therapeutic tactile stimulation', 'Toilet procedure', 'Incision and drainage', nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Hand', 'Eye', 'Entire face', 'Lung', 'Foot', 'Nose']","coronavirus, toilet flushing, open windows question",,20,1002.1739130434783
24,"['Coronavirus Infections', 'Disease', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/can-anyone-here-suggest-me-some-tips-to-keep-our-home-safe-during-covid-19.2569/,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Interventional procedure', nan, nan]","[nan, nan, nan, nan, 'Duct (organ) structure', 'Entire face']",can anyone here suggest me some tips to keep our home safe during covid-19?,,6,302.0833333333333
25,"['Staring', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/are-us-communities-and-hospitals-ready-to-take-on-covid-19.1067/,"[nan, nan, nan, nan, nan]","[nan, 'Quarantine', nan, nan, nan]","[nan, nan, 'Eye', 'Foot', 'Nose']",are us communities and hospitals ready to take on covid-19?,,4,202.0
26,"['Pneumonia', 'Common Cold', 'Coronavirus Infections', 'Catch - Finding of sensory dimension of pain', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/covid-19-in-meatorks.2320/,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Insertion of pack (procedure)', nan, nan]","[nan, nan, nan, nan, nan, 'Lung', 'Respiratory tract structure']",covid-19 in meatorks,,6,301.9230769230769
27,"['Pneumonia', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/why-not-antibiotics.1957/,"[nan, nan, nan, nan, nan, nan]","[nan, nan, 'Special Diet Therapy', nan, nan, nan]","[nan, nan, nan, 'Avian crop', 'Integumentary scale', 'Gut']",why not antibiotics?,,10,501.85185185185185
28,"['Infantile Neuroaxonal Dystrophy', 'Communicable Diseases', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/grocery-shopping-safely-during-coronavirus.1476/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'Soaking Procedure', 'Obstetric Delivery', 'Therapeutic tactile stimulation', 'Incision and drainage', 'Toilet procedure', 'Sterilization for infection control', 'Therapeutic procedure', 'Demand (clinical)', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Foot']",grocery shopping safely during coronavirus,,20,1001.7857142857143
29,"['Respiratory Failure', 'Pulmonary congestion', 'Syndrome', 'Coronavirus Infections', 'Anosmia', 'Ageusia', 'Fatigue', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/prognosis-for-restored-senses-of-smell-and-test.1623/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Spatial guidance for medical procedure', nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, 'Sensory nerve', 'Olfactory Cortex', 'Entire brain', 'Nose']",prognosis for restored senses of smell and test?,,10,501.7241379310345
30,"['Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Common Cold', 'Influenza', 'nan']",https://forums.livescience.com/threads/crossover.1342/,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Heart']",crossover,,4,201.66666666666666
31,"['Smallpox', 'Cowpox', 'Syphilis', 'Nervousness', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/using-an-old-approach-to-developing-a-corona-virus-vaccine.1376/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Extraction', 'Inoculation', 'Incision and drainage', 'Vaccination', 'Coronavirus vaccination', 'Variolation', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire calf of leg (body structure)', 'bony process']",using an old approach to developing a corona virus vaccine?,,4,201.61290322580646
32,"['Influenza', 'Hemorrhoids', 'Upper Respiratory Infections']",https://forums.livescience.com/threads/if-i-have-a-cold-or-the-flu-can-i-also-get-the-covid-19-virus-too.1390/,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","if i have a cold or the flu, can i also get the covid-19 virus too?",,4,201.5625
33,"['Heparin-induced thrombocytopenia', 'Respiratory Tract Infections', 'Influenza', 'Asthma', 'Upper Respiratory Infections', 'Disease', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/pe-lung-damage-risk.1391/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'Entire respiratory tract', 'Lung', 'Entire lung']",pe lung damage risk,,4,201.5151515151515
34,['Coronavirus Infections'],https://forums.livescience.com/threads/analytics-and-visualization-on-coronavirus.1382/,[nan],[nan],[nan],analytics and visualization on coronavirus,,8,401.47058823529414
35,"['Fatigue', 'Coughing', 'Chills', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/symptoms-january-1-mid-feb-2020.1368/,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Chemotherapy Regimen', 'Incision and drainage', 'Therapeutic procedure', nan]","[nan, nan, nan, nan, nan, nan, 'Hand']",symptoms january 1-mid feb.2020,,4,201.42857142857142
36,"['Common Cold', 'Chronic Obstructive Airway Disease', 'Coughing']",https://forums.livescience.com/threads/worried.1349/,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",worried,,6,301.3888888888889
37,"['Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/poll-have-you-cancelled-trips-abroad.1299/,"[nan, nan, nan, nan, nan, nan, nan]","[nan, 'Quarantine', 'Reparative closure', 'Incision and drainage', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, 'Poll - head', 'Hippocampus Proper']",poll: have you cancelled trips abroad?,,20,1001.3513513513514
38,"['Communicable Diseases', 'Common Cold', 'Influenza', 'Upper Respiratory Infections', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/zoonotic-viruses-from-animals-with-core-temperatures-above-humans.1305/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 'Medical counseling', 'Therapeutic procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 'Entire respiratory tract', 'Sweat Glands']",zoonotic viruses from animals with core temperatures above humans,,4,201.31578947368422
39,"['Pharyngitis', 'Common Cold', 'Influenza', 'Primary Cough Headache', 'slight fever', 'Illness (finding)', 'Sore Throat', 'Headache', 'Coughing', 'Lethargy', 'Dyspnea', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/seasonal-flu-jag.1320/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Discussion (procedure)', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Lung']",seasonal flu jag,,6,301.28205128205127
40,"['Sinusitis', 'Immune System Diseases', 'Influenza', 'Chronic disease', 'Upper Respiratory Infections', 'Multiple Sclerosis', 'Symptom Flare Up', 'Flare']",https://forums.livescience.com/threads/health-issues-that-put-people-at-higher-risk.1289/,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]",health issues that put people at higher risk,,4,201.25
41,"['Stinging Sensation', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/how-often-are-you-washing-your-hands-now.1277/,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, 'Entire elbow region', 'Hand', 'Tooth structure', 'Entire upper limb']",how often are you washing your hands now?,,6,301.219512195122
42,"['Influenza', 'Coronavirus Infections', 'nan', 'nan']",https://forums.livescience.com/threads/what-can-the-coronavirus-outbreak-teach-us-about-bringing-mars-samples-back-to-earth.1039/,"[nan, nan, nan, nan]","[nan, nan, 'Isolation procedure', 'Therapeutic procedure']","[nan, nan, nan, nan]",what can the coronavirus outbreak teach us about bringing mars samples back to earth?,,10,501.1904761904762
43,"['Coronavirus Infections', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/poll-wfh-during-covid-19-precautions.1283/,"[nan, nan, nan, nan, nan]","[nan, 'Therapeutic tactile stimulation', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, 'Poll - head', 'Hand']",poll: wfh during covid-19 precautions,,6,301.16279069767444
44,"['Cachexia', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/poll-is-your-local-government-and-medical-system-ready-to-handle-covid-19.1255/,"[nan, nan, nan, nan, nan]","[nan, 'Therapeutic Mobilization', 'Therapeutic procedure', 'Cardiac Lead Procedure', nan]","[nan, nan, nan, nan, 'Poll - head']",poll:is your local government and medical system ready to handle covid-19?,,14,701.1363636363636
45,"['Hypertensive disease', 'Heparin-induced thrombocytopenia', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/coronavirus-outbreak-officially-declared-a-pandemic-who-says.1266/,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, 'Interventional procedure', 'Therapeutic tactile stimulation', 'Shaving - surgical procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, 'Eye', 'Entire face']","coronavirus outbreak officially declared a pandemic, who says",,10,501.1111111111111
46,"['Heparin-induced thrombocytopenia', 'Influenza', 'Coronavirus Infections', 'Weakness', 'nan']",https://forums.livescience.com/threads/is-the-coronavirus-more-dangerous-than-the-flu.1119/,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, 'Hand']",is the coronavirus more dangerous than the flu?,,4,201.08695652173913
